AiDepthScaling;AiMaxDepth;AiMinDepth;DistanceToFoodReward;CrashCost;FoodReward;MoveCost;Score
2,7;2;3;77;314;23;-11;0
1,3;5;1;-8;560;-10;36;0
9,8;5;2;-39;884;-23;35;0
5,6;5;1;44;328;-52;15;0
2,5;1;2;-25;747;-98;-56;0
2,3;8;3;71;802;90;34;0
0,1;5;1;69;242;63;33;190
9,1;0;3;41;807;42;10;0
2,2;8;1;-84;504;78;-20;0
4,9;2;1;-55;549;-66;-95;0
7,7;5;0;43;732;52;36;0
4,4;6;1;69;417;86;7;0
1,8;5;2;15;272;46;-45;10
5,9;0;3;54;116;-11;-42;0
2,4;5;3;-81;479;65;-77;0
6,1;5;0;-71;961;37;15;0
4,4;8;1;52;157;-65;-8;0
7,3;2;0;-83;825;78;56;0
2,7;2;2;46;443;-75;-89;0
3,1;9;0;-64;415;5;55;0
8,6;8;3;-88;881;-61;-28;0
1,9;6;1;50;101;62;8;10
3,9;2;0;-80;624;-41;-60;0
7,9;5;4;32;690;22;-49;0
6;4;2;-1;594;84;-46;0
9,3;0;0;-83;438;35;-2;0
3,7;0;2;-84;461;6;-11;0
4,9;0;0;-63;257;95;61;0
7,6;7;0;-34;648;-11;-6;0
6,6;0;1;-9;369;-76;-94;0
2,9;1;2;85;4;-93;97;0
8;4;4;67;97;-82;42;0
0,8;0;2;60;658;-73;-43;0
9,8;5;3;-62;685;13;15;0
0,6;0;4;-65;-23;-63;61;0
2,6;2;4;-30;723;83;-90;0
1,9;8;1;-15;815;-86;-39;0
7,5;8;3;76;560;-86;36;0
1;5;1;12;-7;-52;64;0
4,6;2;1;-65;275;86;57;0
2,7;1;0;71;429;72;55;230
7,8;4;1;41;744;-43;-80;0
7,9;8;1;-85;454;19;42;0
3,1;1;0;32;536;87;-34;230
5,5;8;2;46;95;-62;61;0
0,2;7;2;89;215;-30;-23;0
8,3;1;0;-64;200;82;-10;0
5,7;7;2;-90;318;31;-73;0
0,8;7;1;96;265;-73;-14;0
8,3;1;0;79;-13;-23;60;0
6,8;3;0;81;462;10;72;0
9,7;4;2;-49;70;-16;14;0
8,4;9;0;34;405;48;38;0
3,9;2;2;72;899;23;-100;0
8,9;0;4;-5;854;-34;99;0
8,5;8;0;89;231;-88;19;0
9,8;6;4;83;820;53;23;0
4,1;7;3;-57;103;49;-95;0
7,6;9;0;-59;639;72;14;0
0,6;2;4;-57;432;-79;-73;0
9,8;9;0;-74;691;7;-85;0
3;2;0;89;-54;-20;-16;0
7;5;4;76;620;-56;-92;0
3,3;3;2;69;784;47;-75;0
1,8;7;0;-74;687;94;-83;0
2,2;6;3;81;997;70;1;0
2,3;3;2;71;543;5;34;0
6,5;6;2;63;784;-2;-69;0
9,1;7;1;97;-18;-28;-86;0
7;8;4;-27;656;-7;-29;0
9,1;6;1;26;988;62;-93;0
0,8;4;1;69;509;-69;4;0
0,3;4;4;47;177;93;-44;0
1,4;5;2;-66;536;-99;-29;0
7,5;7;4;-57;788;95;90;0
1,2;0;1;34;701;-91;-3;0
7,5;7;1;-30;241;38;-25;0
4,3;2;3;3;267;-86;65;0
8,2;8;1;-24;312;-64;-91;0
2,8;9;0;20;754;22;-22;0
3,1;0;2;-21;684;-61;-28;0
1,1;1;4;-17;-30;27;86;0
6,5;4;4;43;784;46;94;0
4,9;0;2;-96;287;-72;46;0
1,2;6;2;-1;615;-92;83;0
4,9;5;1;77;542;-51;51;0
4,6;4;1;23;264;95;82;0
9,2;8;4;24;634;56;-21;0
4,4;9;3;-35;450;-38;91;0
5,2;3;2;42;937;-92;65;0
6,4;7;2;-80;996;-33;68;0
2,6;5;0;96;692;42;84;0
3,9;7;1;72;108;-34;-84;0
4,7;2;1;-61;-24;22;27;0
8,5;7;2;-17;385;-51;-71;0
9,1;3;0;11;18;97;-40;0
1;2;3;-34;783;48;95;0
9;4;0;-55;190;-56;-79;0
9;0;2;-88;252;-67;-38;0
2;9;0;83;350;-90;-35;0
5,9;9;0;61;618;-6;-25;0
3,9;2;1;-54;-45;-82;25;0
8,3;1;1;-53;158;68;-82;0
8,1;1;2;46;880;70;-1;320
4,6;3;3;-87;856;-61;22;0
3,7;7;4;-59;96;-11;58;0
7,6;3;0;25;812;-40;-3;0
9;0;2;2;79;-21;-48;0
0,4;1;1;96;439;34;-45;0
6,8;0;1;36;126;83;90;320
7,8;0;1;2;732;32;2;320
0,7;0;1;43;543;69;-27;320
3,8;1;0;67;38;69;99;220
2,8;1;0;50;35;93;43;320
1,6;1;1;44;-39;60;-64;80
0,9;1;1;7;196;7;82;320
8,9;0;1;48;261;52;-73;320
5,5;0;1;4;39;2;-83;320
9,8;1;1;21;531;96;-64;320
3,7;0;1;49;987;-46;-95;0
8,1;1;1;92;267;46;19;320
2,7;1;0;71;429;72;55;320
3,1;1;0;32;588;87;-34;320
8,9;4;4;3;400;27;18;220
7,4;1;0;89;53;56;19;220
8;1;0;61;35;8;-68;0
7,4;1;1;73;5;75;62;220
9,1;5;2;2;641;36;91;280
8,5;4;4;2;306;65;75;220
6,8;0;4;1;907;-91;28;0
9,1;1;3;1;503;79;74;220
8,5;3;2;2;985;72;55;220
0,8;0;3;2;776;42;86;220
0,2;6;4;4;524;16;91;220
1,3;2;2;2;907;19;11;220
1,7;0;2;2;263;64;42;220
6,6;2;2;1;148;8;83;220
5,2;1;2;2;843;95;23;220
0,1;6;0;43;62;67;73;120
4,2;5;2;2;359;34;-65;400
0,2;7;3;2;973;94;-60;220
0,2;5;3;2;981;18;-60;220
6,6;3;0;1;790;25;-71;220
1,4;2;1;96;275;86;57;220
1,4;2;0;78;856;52;22;220
0;0;2;71;954;61;89;220
3,7;0;2;70;219;43;11;220
3,1;2;1;36;287;4;46;0
0,5;2;1;39;454;19;-4;220
0,4;2;0;13;542;-97;38;0
1,3;1;2;13;253;-91;31;0
4,8;1;2;67;109;59;-59;260
7,9;0;2;7;535;51;13;220
5;1;2;81;534;55;76;220
5,1;0;2;32;902;-19;15;0
6,2;1;2;59;472;92;36;220
0,1;2;1;85;893;-65;48;0
2,6;2;0;78;395;59;57;220
0,6;2;1;14;517;16;72;220
9,5;2;2;9;918;39;42;220
6,4;2;2;27;829;56;47;220
5,5;2;1;51;706;36;73;220
1,3;2;1;74;537;92;1;220
8,1;1;2;2;566;50;-43;260
3,9;2;2;2;513;37;-95;260
1,3;2;2;2;133;10;-85;260
5,4;2;1;2;571;39;27;220
6,4;1;2;66;542;-96;-14;0
8,4;0;2;34;522;64;-23;260
1,2;2;2;64;301;79;-25;260
2,9;2;1;23;76;24;-78;260
4,2;1;2;57;403;84;-9;220
8,4;2;1;34;987;84;-41;260
9;0;2;11;435;-10;-60;0
9;2;2;19;742;86;-13;260
4,1;2;1;19;770;12;-62;260
0,9;2;0;11;164;31;-36;260
3,4;1;2;83;234;56;-57;260
9,9;2;0;25;756;61;46;220
0,4;2;1;13;524;60;16;220
2,8;1;0;81;-34;59;35;70
7,8;8;1;2;293;-100;76;0
0,8;7;2;20;-55;62;78;70
1,3;1;3;2;-57;10;6;80
5,5;0;1;55;-86;-73;-29;0
6,2;1;0;7;-60;-42;86;0
7,8;0;4;2;102;65;4;220
7,4;4;0;2;432;61;-49;220
4,4;6;0;4;700;54;-17;230
6,8;6;4;4;181;83;5;230
3,7;6;4;4;635;-48;9;0
4,4;6;1;4;948;-23;15;0
1,7;8;0;57;9;98;42;80
3,1;7;4;2;855;20;-32;230
1;8;1;2;156;56;21;230
9;4;4;2;825;65;27;220
8,6;6;4;4;700;7;41;230
3;2;1;89;-54;75;74;60
0,1;4;0;42;153;41;80;190
0,1;5;1;69;242;45;33;200
5,5;2;1;23;-100;34;-78;320
7;1;0;93;744;80;-13;320
9,1;1;0;27;921;44;30;320
5,6;1;0;34;914;80;-23;320
3,1;0;1;45;644;-30;62;0
7,3;0;1;68;825;65;78;320
4,8;1;0;81;913;59;35;320
9;0;1;26;211;-71;-91;0
0,4;1;1;73;439;75;-8;320
6,8;6;0;-27;430;67;-66;10
1,6;5;0;71;179;79;53;10
8,3;1;2;-66;449;-47;-37;0
6,2;2;3;-40;571;39;27;10
0,9;1;3;-2;196;7;82;10
9,1;1;4;-85;25;-47;-37;0
3,4;6;1;47;147;45;33;0
3,8;8;1;-78;92;56;71;20
7,8;1;1;27;718;70;-68;320
2,5;2;1;61;898;46;49;220
1,1;5;2;1;277;-86;16;0
0,9;3;4;41;922;-6;-59;0
5,6;5;3;45;-45;75;-14;0
6,3;1;2;74;681;56;42;220
2,6;0;2;20;785;-45;78;0
4,8;1;0;-96;109;36;-94;10
5,2;5;1;81;724;53;0;0
6,8;5;2;1;464;-1;78;0
8,4;6;3;-79;522;64;-1;10
8,2;0;3;-66;121;53;-9;10
2;0;1;63;-37;75;11;80
8,7;7;1;47;283;77;0;0
4,5;6;2;-59;-90;-82;-23;0
0,7;9;2;-70;-6;27;74;10
2,4;4;4;64;306;-17;75;0
8,5;1;4;-25;204;17;5;10
5;6;3;2;-93;44;-16;400
0,9;4;0;1;196;-10;-37;0
9,8;6;0;76;452;8;98;0
5;2;2;-49;825;5;27;10
8,5;1;0;-18;324;-15;-89;0
3,9;5;2;23;954;52;-57;0
5,1;4;1;9;636;20;-59;0
5,7;2;0;-15;393;56;11;10
0,7;1;0;82;775;84;-100;320
0,1;5;4;69;736;45;27;0
7;3;3;-84;167;80;-13;10
7,9;1;4;2;451;-64;42;0
6,8;0;1;-85;36;40;-77;10
1,7;8;1;-42;448;-85;42;0
8,4;2;4;-65;50;56;-92;40
0,1;5;0;69;984;45;-30;200
6,8;0;3;45;285;-30;62;0
6,2;1;2;-57;105;-42;86;0
4,8;1;1;71;174;16;-35;0
7,2;7;3;-85;948;0;60;10
1,7;0;2;-60;536;73;42;10
6,8;9;0;1;956;73;28;230
9,5;2;1;-5;907;61;43;10
3,4;6;4;-13;903;93;78;10
5,7;2;2;-10;756;44;-27;10
4,1;7;4;83;763;73;72;0
3,9;4;0;-9;-38;-71;86;0
5,4;1;2;1;956;-10;-64;0
1,8;9;4;-83;496;61;-74;160
0,1;1;1;-39;370;69;54;10
7,7;4;2;81;352;-55;0;0
6,8;1;1;69;234;56;-91;320
6,4;2;3;-43;759;89;-63;10
4,8;6;4;82;138;-21;29;0
5;7;1;46;435;41;-60;0
4,2;7;1;28;92;13;-69;0
1,4;2;1;39;543;69;58;220
3,1;8;4;92;855;55;-51;0
6;3;3;2;398;-18;-70;0
8,8;3;4;2;-99;-74;-66;0
8,5;0;2;30;401;41;56;220
6,6;9;1;-53;732;85;73;10
3;2;0;36;492;75;41;220
1,9;9;1;39;887;8;57;0
4,5;0;2;-22;951;-7;-72;10
6,8;1;1;-67;234;56;-91;10
6,8;9;1;20;801;73;-26;0
9,2;7;2;89;539;89;-44;0
5,1;7;1;34;390;-98;93;0
6,8;1;4;-34;464;-90;-8;0
6,8;9;0;-31;801;73;-52;10
6,8;1;1;57;399;15;-9;0
6,9;9;3;-70;445;54;53;10
3,1;0;2;83;348;20;-89;0
4,5;0;2;81;88;15;-87;0
7;2;1;78;816;59;57;220
4,1;0;2;19;590;-57;73;0
3,6;8;3;-100;178;-46;72;0
4,8;1;0;-60;997;84;-35;10
3,4;9;2;-7;11;-8;-11;0
2;9;4;-75;887;-63;-23;0
2,6;0;0;-1;531;-45;78;0
8,1;2;3;65;101;46;19;0
6,5;3;3;97;971;41;-5;0
1,3;7;3;74;537;-73;-67;0
5,1;9;4;-67;234;56;60;10
4,2;2;1;2;907;3;-64;260
6,8;1;4;-64;499;61;-22;40
8,9;4;2;-25;956;98;18;40
3,5;1;3;51;64;-20;-14;0
8,9;3;4;-28;234;-29;45;0
6,2;5;2;95;328;65;86;0
5,1;6;3;-22;910;49;56;10
7,8;1;1;-7;11;-8;-11;0
8,3;1;2;-16;109;-74;64;0
6,8;0;0;-23;464;-90;69;0
0,5;9;0;97;292;19;16;0
8;5;2;91;277;-86;16;0
5,5;1;0;45;25;33;35;220
1,4;8;1;92;267;46;-4;10
1,7;0;2;-43;434;88;-28;10
6;7;2;34;65;64;53;0
6,8;2;0;36;-53;11;65;0
9;1;3;-19;152;42;71;10
1,6;3;2;-56;447;-9;47;10
1,1;5;4;1;42;-86;32;0
1;9;0;-14;454;-73;-95;0
4;3;3;52;601;32;73;0
0,6;1;1;23;744;-27;56;0
0,7;7;0;86;3;-30;19;0
4,8;8;2;-85;879;-45;85;0
0,9;8;0;-20;196;47;-66;0
0;8;2;23;465;67;-37;160
6,8;0;4;45;880;44;62;0
3;1;1;34;163;-56;53;0
0,3;7;2;23;76;93;-78;60
5,6;5;4;26;666;74;57;0
7;2;4;20;117;-86;-33;0
6,8;8;1;45;850;-5;83;0
9,3;8;1;51;529;-50;-94;0
1;5;1;-99;-99;68;30;0
6,4;1;0;39;964;-98;-38;0
0,9;1;4;-13;196;7;-22;0
8,9;0;0;-67;752;89;53;0
8;5;3;25;53;63;-17;0
0,2;1;3;-19;102;-65;47;0
4,8;7;4;14;138;-36;0;0
7;2;2;-14;816;-81;-92;0
0,4;9;4;-85;553;-69;-88;0
0,1;2;1;-3;956;-41;56;0
1,6;7;0;2;940;65;-85;370
6,4;7;3;99;454;18;56;0
5,2;1;3;21;946;69;99;0
5;7;1;-31;967;73;-52;0
0,5;3;1;-13;521;79;71;0
1,7;8;0;-42;555;62;-68;0
1,2;4;2;87;571;32;-66;0
4,7;5;2;-77;-51;-76;26;0
3,4;2;3;82;955;-79;73;0
9,6;2;2;36;318;75;38;160
7,5;2;0;-15;393;56;-14;0
0,4;5;0;-65;-7;63;-45;0
3,6;0;4;89;75;78;-20;0
7,2;7;4;27;718;66;-68;0
0,1;2;1;16;956;76;33;160
2,4;1;2;-47;393;-29;11;0
6,8;5;0;-60;430;67;-66;0
3,9;1;3;-74;964;62;-67;0
5;7;3;-30;838;-92;-23;0
6,8;4;2;-91;464;86;69;0
2,9;2;2;81;800;-98;55;0
3,5;1;4;-29;430;-45;-7;0
0,5;0;3;-9;-6;97;-10;0
0;5;4;23;554;67;-37;0
7;1;3;82;744;-3;-93;0
1,4;6;2;95;454;-7;-8;0
6,8;6;4;45;572;-38;62;0
6,7;7;3;43;833;5;-52;0
7,4;0;4;-97;832;-19;-4;0
3;2;2;-14;644;19;74;0
5,2;0;3;81;634;53;0;0
1;4;2;63;776;-41;30;0
3,6;0;0;5;625;7;59;0
9,9;0;0;55;731;-98;-29;0
2;8;2;77;72;79;-17;0
6,2;9;2;95;175;48;-13;0
2,7;3;2;43;363;89;27;0
6,8;3;1;-11;924;-68;-46;0
0;0;4;4;147;2;8;160
7;2;4;99;895;-25;-65;0
9,8;1;4;62;531;96;-64;0
1,3;3;4;32;15;10;6;0
6,8;0;3;8;957;-61;-55;0
4,9;4;0;-15;168;43;11;0
4;3;1;-42;-7;65;-54;0
0,9;2;2;-20;-90;27;-76;0
5,8;2;1;50;381;46;-4;160
3;5;4;2;712;27;6;210
7,7;4;2;-98;68;-6;98;0
7,2;3;0;28;34;59;-40;0
2,7;5;2;-29;561;36;-6;0
2;5;3;15;54;67;48;0
9,7;2;3;56;513;8;-73;0
4,1;3;4;-70;153;-20;-83;0
9,4;3;3;89;623;-8;-11;0
4,6;6;3;23;76;93;-78;0
6;0;3;27;718;-28;82;0
1,1;1;4;51;872;-92;-22;0
3,8;8;0;96;412;36;-35;0
2,2;0;0;48;264;69;-25;0
8,1;2;2;44;166;59;19;160
7,8;8;0;27;515;70;-5;0
5,5;8;2;26;801;-94;45;0
0,7;1;1;82;86;-98;74;0
0,4;5;2;-65;-62;34;9;0
5,9;9;1;95;880;7;82;0
1,3;1;4;21;531;96;-46;0
4,7;0;0;-80;687;-86;32;0
4;3;2;32;614;-5;89;0
7,8;4;1;11;355;-2;-14;0
2,3;0;2;77;551;-19;63;0
1;6;0;92;910;-31;11;0
1,3;1;0;13;559;95;-65;160
6;9;1;93;543;80;-20;0
3,2;6;2;-55;272;-94;-65;0
2,2;5;1;-53;732;-72;23;0
7,5;3;0;-51;134;98;5;0
2,9;7;1;-88;952;-94;-78;0
9,8;5;3;-84;-46;-59;-30;0
0,6;5;1;7;535;51;80;30
3,6;0;3;-37;767;-35;-20;0
8,7;9;3;23;433;63;22;0
8,1;5;0;-65;212;-64;42;0
6,8;2;2;13;542;26;-53;160
4,2;7;0;-84;543;-2;6;0
8,8;5;2;29;948;70;76;0
4,3;7;0;27;-70;19;16;0
4,5;3;0;63;514;80;53;0
1,3;1;1;-70;193;26;-94;0
8,2;5;0;96;733;-34;6;0
3,8;2;1;51;557;30;61;160
2,2;5;0;-66;430;84;-66;0
8,9;1;3;82;607;-49;-17;0
0,2;1;0;-52;33;-92;14;0
9,7;3;3;27;-33;-4;-32;0
6,2;3;2;2;186;28;8;160
5,2;8;3;7;486;92;87;0
4,9;6;3;-98;577;-30;-18;0
4,8;6;4;-32;313;44;85;0
0,4;7;3;97;919;89;-11;0
2,5;8;3;61;435;46;49;0
1,2;2;2;-69;551;-17;-66;0
1;0;1;-76;625;-19;-84;0
7,8;4;1;-18;-38;77;11;0
0,7;4;4;-28;775;23;-79;0
6;2;1;-27;-71;5;20;0
0,5;3;4;-13;327;-97;71;0
0,4;5;3;-67;-44;67;-37;0
4,4;0;2;-79;590;-49;-4;0
7,8;0;1;68;724;-80;-100;0
1,3;1;2;-88;-69;19;0;0
8,8;7;2;53;744;43;73;0
7,4;6;4;-13;309;-58;0;0
2,5;6;4;-55;179;-81;-5;0
4,8;5;0;28;159;-87;62;0
9;0;4;-97;44;-10;-60;0
0,1;3;0;-46;69;69;3;0
6,4;2;2;39;964;68;-38;160
4,2;2;4;2;847;3;7;160
6,8;0;1;45;880;-17;-67;0
6;4;1;-76;971;-90;-88;0
1,7;0;4;-60;536;5;13;0
9,8;3;3;-44;529;-52;11;0
9;5;0;19;742;-92;-13;0
3,6;7;2;2;763;-14;-33;0
8,6;2;1;19;294;71;-25;160
5,6;1;3;78;184;18;27;0
7,7;9;2;22;224;54;61;0
2,9;4;4;49;800;35;55;0
6,3;1;4;65;776;71;-87;0
2,3;3;0;-13;351;11;71;0
8,5;7;2;11;196;-35;11;0
4,2;5;4;2;817;-84;68;0
9,7;2;4;-6;543;53;-67;0
5,3;6;3;36;492;52;-93;0
5,4;9;3;62;934;80;97;0
6,8;0;0;36;294;83;93;0
5,9;3;0;-38;845;75;-8;0
9,2;5;2;81;724;-3;73;0
1,6;5;1;-90;783;95;72;0
5;8;4;91;744;-55;89;0
9,5;0;2;4;4;35;-87;160
8,2;2;1;31;-54;-90;90;0
0,7;9;3;93;-58;34;-28;0
0,4;2;1;-44;871;-64;-70;0
9,1;1;0;-37;393;-21;-46;0
3;4;2;93;678;95;17;0
6,7;1;3;-27;195;-67;53;0
9,7;0;2;94;694;8;-73;0
3,6;1;4;-10;531;57;5;0
1,2;5;4;-71;429;56;88;0
9;7;3;-33;607;-10;-60;0
7,2;1;0;-29;135;-91;45;0
6,7;2;3;-93;54;-37;-97;0
1,6;6;0;-72;962;77;-98;0
7,4;7;1;17;674;61;-49;0
6,9;5;2;-7;133;-3;61;0
1,6;7;4;68;962;77;88;0
2,5;4;4;33;363;89;-60;0
2,5;8;3;-18;815;-51;49;0
6;4;2;-59;714;-34;-45;0
0;4;4;-21;887;-68;-17;0
1,7;3;4;32;614;20;-2;0
6,6;5;0;-84;732;-6;14;0
0,9;5;3;38;758;36;91;0
2,7;6;1;8;948;-23;32;0
2,5;5;3;2;-78;-89;82;0
6,9;5;4;-79;468;-86;10;0
5,3;4;1;2;817;-84;31;0
9,3;9;3;51;529;19;-37;0
4,4;2;3;-98;381;46;46;0
1;3;3;-14;168;-73;-52;0
5,4;7;2;16;-92;3;60;0
2,6;1;4;5;-60;39;-5;0
3,8;4;1;43;39;-37;-83;0
8,4;4;1;72;62;56;79;0
0,8;7;1;97;531;96;-96;20
7;3;4;13;937;80;37;0
9,1;8;1;66;815;-51;49;0
2,9;1;3;71;148;61;84;0
1,1;1;2;45;833;68;-22;160
7,2;4;0;93;571;59;-40;0
3,6;1;4;-87;714;-21;29;0
4,4;5;2;-36;45;68;-28;0
1,6;3;2;2;766;59;5;160
5,1;2;2;-65;59;25;-83;0
1,1;2;3;-40;31;-87;27;0
2,9;2;2;80;76;31;-78;0
4,8;9;2;-97;195;-50;18;0
4,4;0;1;-49;43;5;-83;0
7,8;0;1;15;892;13;62;160
6,3;7;4;28;976;-21;-21;0
7,8;2;3;51;529;87;-88;0
1,3;7;0;38;948;-95;18;0
3,6;0;2;5;21;-91;-69;0
4,3;7;4;70;724;-13;-80;0
4,3;5;4;-26;-99;-2;-85;0
5,7;0;2;90;439;34;-94;0
5,7;9;1;-98;660;-53;82;0
6,9;5;2;18;468;-32;-61;0
4,1;9;3;-19;770;65;-49;0
8,7;7;0;-39;433;75;22;0
4,1;4;1;-4;724;96;-80;0
5,7;2;1;-7;11;-28;26;0
1,3;1;4;13;972;47;94;0
7,2;9;0;50;9;-15;74;0
2,4;4;2;-65;-7;-69;-45;0
7,6;9;2;-64;598;-73;40;0
2,6;6;0;-77;395;59;-89;0
7,3;6;4;23;102;-37;-71;0
3,3;1;0;29;627;78;75;160
9,2;4;0;89;539;89;-44;0
0,3;6;0;-71;960;-5;-42;0
0,8;9;3;78;619;64;78;0
1,6;5;0;-52;635;91;-44;0
2,8;2;3;72;148;-86;35;0
4,9;5;2;-31;708;-32;-71;0
1,3;1;3;-53;804;-84;-30;0
0,9;3;2;58;196;-10;-19;0
6;5;2;9;800;-18;91;0
9,1;5;3;-60;641;36;10;0
6,4;1;2;-85;-76;92;-21;0
4,7;9;4;-85;73;-71;26;0
2,3;2;3;2;842;18;-46;160
3,1;8;0;82;354;71;-51;0
7,4;6;2;23;392;62;92;0
0,7;3;0;8;601;84;-39;20
1;5;1;92;523;-72;-43;0
2,9;6;4;31;765;38;28;0
6,8;9;2;74;243;-36;-100;0
3,4;1;4;-24;578;56;-91;0
1,9;6;1;4;326;11;56;210
3,5;7;2;66;-39;60;-64;0
2,3;1;1;44;184;35;53;160
6,2;6;1;-23;175;34;-13;0
3,8;2;1;74;537;-30;70;0
9,4;7;1;87;98;-74;23;0
6,6;8;3;-29;975;-1;94;0
0,8;2;3;89;173;66;-5;0
4,5;3;2;84;88;-3;-64;0
7,7;9;2;-41;224;54;61;0
3,3;9;2;-73;95;-74;11;0
4;1;1;73;282;56;14;160
5;4;1;-69;-12;-2;-39;0
4,1;1;4;-33;674;-33;83;0
3,1;9;4;-16;153;80;7;0
1,5;1;3;18;267;70;31;0
7,8;2;0;92;847;-75;36;0
6,5;9;0;97;872;-47;-12;0
3,1;6;4;13;467;69;92;0
0,7;6;0;18;-74;3;13;0
7,6;3;1;-75;325;-63;7;0
8,7;9;2;53;806;83;22;0
9,4;1;4;-73;295;95;35;0
7,8;5;4;-20;957;5;23;0
1,1;3;0;59;401;72;-51;10
3,7;0;1;-19;335;32;-13;0
1;0;4;36;963;-94;-84;0
7,6;8;1;9;801;-94;45;0
4,2;8;3;-100;372;75;93;0
1,6;8;3;-33;166;68;20;0
7,7;0;3;45;860;-87;-66;0
6,8;0;0;45;853;-49;-18;0
7;0;0;-17;307;-100;67;0
5;1;0;80;174;-95;-37;0
4,3;3;0;50;175;-27;41;0
6,8;9;1;-19;-26;68;-9;0
1,7;7;3;81;534;-99;76;0
4;3;4;-85;407;-64;-80;0
5,5;3;1;-42;219;65;-93;0
4,1;7;1;-50;318;80;-98;0
5,6;4;1;-99;898;-6;27;0
7,9;9;3;-98;980;66;14;0
8,9;2;4;-18;714;98;51;0
1,4;2;4;39;95;69;-41;0
5;1;3;68;964;73;90;0
5,8;1;0;71;174;-69;-10;0
5,1;6;2;-49;136;45;81;0
6,8;0;0;-64;872;-47;-85;0
4,4;9;3;-50;858;11;-73;0
7,9;4;3;-28;234;-29;45;0
1,6;3;1;4;881;3;91;160
0,9;0;3;88;931;-41;-83;0
0,7;6;4;-72;775;84;25;0
0,1;2;0;-96;907;23;73;0
7,9;9;0;50;9;-25;-25;0
2;8;0;80;317;93;66;0
1,6;1;1;-82;627;78;-74;0
1,9;5;1;-43;434;-66;-28;0
1,3;8;3;21;635;-48;-77;0
6,8;5;2;69;759;45;-30;0
4;0;2;21;170;96;-46;160
7,2;7;0;56;916;-40;-77;0
7,8;9;3;2;475;-35;-54;0
6,9;8;1;34;61;29;88;0
5,2;7;1;-24;439;-11;34;0
3,4;6;2;30;882;77;-53;0
0,1;5;0;69;736;-7;56;0
3,5;0;0;58;990;22;-52;0
4,5;3;3;3;-33;8;-81;160
4;9;0;27;873;22;-28;0
0;6;3;-90;359;69;-37;0
1,6;4;2;-66;377;34;88;0
2,6;0;3;45;735;-27;78;0
4,1;8;0;-31;445;54;81;0
0,7;3;2;95;522;34;-5;0
0,8;0;4;48;741;-18;92;0
0,5;3;3;-24;523;-34;-14;0
9,2;3;2;-56;447;39;47;0
3,4;7;0;87;954;-41;-9;0
5,3;5;4;28;249;-74;-5;0
0,3;7;4;27;873;22;-33;0
4,4;0;2;-49;790;-77;58;0
2;6;3;-21;-37;15;27;0
6,8;3;1;69;234;37;-100;0
3,3;0;0;-77;513;-53;13;0
9,1;0;4;4;109;-89;61;0
7,3;9;1;-20;268;14;-32;0
6,5;8;1;53;806;-63;-13;0
3,7;1;2;18;267;-42;73;0
1,5;2;1;80;998;66;-39;160
0,9;3;4;88;922;-6;-22;0
4,2;4;1;96;3;70;-14;0
3,3;9;2;30;981;92;11;0
5,1;9;0;-5;980;-31;14;0
4,6;0;4;-96;937;80;55;0
1;1;4;56;872;26;2;0
7,4;4;0;-38;960;-21;-27;0
5,7;0;0;20;616;-92;77;0
0,2;7;3;-13;920;10;-45;0
5,7;0;3;85;340;-57;38;0
0;6;2;27;413;-58;-28;0
0,2;3;4;-11;414;-18;-46;0
6,2;9;2;-84;-55;56;46;0
5,4;3;1;9;768;-3;-84;0
3,4;6;3;30;136;96;0;0
7,6;0;0;-57;9;9;-12;0
4,1;4;3;-55;318;-92;2;0
4,5;7;3;-86;334;92;-88;0
4,5;1;1;-83;19;-37;71;0
4;2;3;96;880;49;57;0
0,7;4;3;60;921;44;30;0
5,3;1;0;2;523;72;25;160
1,2;8;1;-78;-96;35;24;0
6,4;9;1;-78;835;23;38;0
4,3;1;3;80;983;79;-77;0
3,3;6;3;75;445;-69;11;0
8,4;6;1;88;-37;-98;27;0
1,6;7;2;22;696;-98;98;0
0,6;9;3;-32;732;-72;23;0
4,3;6;0;4;903;-39;-35;0
0,9;5;0;23;554;27;17;20
5,7;3;4;48;901;47;-72;0
7;4;0;-32;490;-93;8;0
3,5;0;3;99;340;-27;88;0
9,1;3;1;-14;545;3;80;0
7;7;4;55;59;12;-89;0
6,3;2;4;-77;904;-49;55;0
6;5;3;-19;297;-11;-45;0
8,8;1;1;-56;316;-42;-37;0
1,7;5;1;-42;611;-85;42;0
6,3;1;3;51;192;30;92;0
4,9;4;4;-50;367;59;23;0
9,4;3;3;-95;623;82;-48;0
0,5;3;2;-19;263;-48;61;0
1,9;6;0;-13;471;-16;-43;0
7,6;3;0;43;768;-12;16;0
3,2;8;2;-77;675;-66;-29;0
0,6;0;0;3;301;-61;18;0
1,4;4;2;99;474;-19;61;0
9,7;1;0;-10;659;43;-37;0
7;9;3;73;43;77;-86;0
7;4;4;76;401;-38;-74;0
0,2;7;2;-17;570;-26;6;0
1,7;6;3;-32;205;83;-87;0
4,8;7;3;61;995;-36;68;0
1,2;2;2;64;849;76;-12;160
0,5;3;1;-16;598;3;80;0
1,3;5;4;-84;927;19;-35;0
5,4;2;1;-50;56;8;47;0
3,1;7;1;-76;855;68;-38;0
8,4;2;0;78;856;-34;22;0
4;7;4;-42;393;-21;-1;0
2,8;3;3;-35;464;-90;-67;0
7,5;1;1;38;480;73;90;160
